t,hour,acc,acc_true,T_deck,T_air,wind,turbulence,traffic_rate,exc_rms,damage,regime,f1,f2,a1,a2,a3,a4
2.9,0.09666667,0.0005983759,0.001429324,6.107142,6.170936,2.626176,0.1020898,50.06271,0.001130638,0,0,2.023365,6.046728,0.9730551,-0.9177704,0.8681414,-0.9093227
2.95,0.09833333,-0.000667708,-0.0006008219,6.107208,6.178659,2.636782,0.1008429,50.06286,0.001153008,0,0,2.023364,6.046727,0.9730557,-0.917771,0.868142,-0.9093228
3,0.1,-0.0009341259,-0.0004281018,6.107274,6.186381,2.647388,0.09959605,50.06301,0.001165827,0,0,2.023364,6.046726,0.9730563,-0.9177716,0.8681426,-0.9093228
3.05,0.1016667,-0.0001502681,-2.299499e-05,6.107385,6.191808,2.646475,0.09992916,50.06316,0.001224752,0,0,2.023363,6.046725,0.9730573,-0.9177727,0.8681436,-0.9093228
3.1,0.1033333,-0.001261169,-0.001486727,6.107496,6.197236,2.645562,0.1002623,50.06332,0.001251828,0,0,2.023363,6.046724,0.9730584,-0.9177738,0.8681445,-0.9093228
3.15,0.105,-0.001722628,-0.001625531,6.107606,6.202663,2.644649,0.1005954,50.06347,0.001291062,0,0,2.023362,6.046722,0.9730594,-0.9177749,0.8681455,-0.9093228
3.2,0.1066667,0.001145181,0.001056301,6.107717,6.208091,2.643736,0.1009285,50.06362,0.001316828,0,0,2.023361,6.046721,0.9730604,-0.9177759,0.8681465,-0.9093229
3.25,0.1083333,0.0007310146,0.001069281,6.107828,6.213518,2.642823,0.1012616,50.06377,0.001334193,0,0,2.023361,6.04672,0.9730614,-0.917777,0.8681475,-0.9093229
3.3,0.11,-0.0007769028,-0.001015547,6.107938,6.218946,2.641911,0.1015947,50.06392,0.001385602,0,0,2.02336,6.046718,0.9730624,-0.9177781,0.8681485,-0.9093229
3.35,0.1116667,0.002513716,0.002265627,6.108049,6.224373,2.640998,0.1019278,50.06408,0.00142478,0,0,2.023359,6.046717,0.9730634,-0.9177791,0.8681495,-0.9093229
3.4,0.1133333,0.0003950363,0.0004709083,6.10816,6.2298,2.640085,0.1022609,50.06423,0.001444183,0,0,2.023359,6.046716,0.9730644,-0.9177802,0.8681505,-0.9093229
3.45,0.115,-0.001048935,-0.001268532,6.10827,6.235228,2.639172,0.102594,50.06438,0.001468343,0,0,2.023358,6.046715,0.9730654,-0.9177813,0.8681515,-0.909323
3.5,0.1166667,-0.0002145503,0.0006918998,6.108381,6.240655,2.638259,0.1029271,50.06453,0.001474942,0,0,2.023357,6.046713,0.9730664,-0.9177824,0.8681525,-0.909323
3.55,0.1183333,-0.002454436,-0.001784793,6.108449,6.23564,2.639709,0.1041768,50.06469,0.001479719,0,0,2.023357,6.046712,0.973067,-0.917783,0.8681531,-0.909323
3.6,0.12,-0.000901737,-0.0007293973,6.108517,6.230625,2.641158,0.1054265,50.06485,0.001504777,0,0,2.023357,6.046712,0.9730677,-0.9177837,0.8681537,-0.909323
3.65,0.1216667,-0.0007083266,-0.0004586425,6.108586,6.22561,2.642608,0.1066762,50.065,0.001513984,0,0,2.023356,6.046711,0.9730683,-0.9177843,0.8681544,-0.909323
3.7,0.1233333,-0.001159497,-0.000814977,6.108654,6.220595,2.644058,0.1079259,50.06516,0.001540765,0,0,2.023356,6.04671,0.9730689,-0.917785,0.868155,-0.909323
3.75,0.125,0.002449042,0.001906354,6.108722,6.21558,2.645507,0.1091756,50.06531,0.001565387,0,0,2.023355,6.046709,0.9730695,-0.9177857,0.8681556,-0.909323
3.8,0.1266667,0.002465665,0.002427713,6.10879,6.210564,2.646957,0.1104253,50.06547,0.001615428,0,0,2.023355,6.046708,0.9730701,-0.9177863,0.8681562,-0.9093231
3.85,0.1283333,0.0006842803,-0.0005235685,6.108858,6.205549,2.648407,0.111675,50.06562,0.001642102,0,0,2.023355,6.046707,0.9730708,-0.917787,0.8681568,-0.9093231
3.9,0.13,-0.001879675,-0.001282673,6.108926,6.200534,2.649856,0.1129247,50.06578,0.001652993,0,0,2.023354,6.046707,0.9730714,-0.9177876,0.8681574,-0.9093231
3.95,0.1316667,0.002727565,0.002245357,6.108994,6.195519,2.651306,0.1141744,50.06594,0.001698541,0,0,2.023354,6.046706,0.973072,-0.9177883,0.868158,-0.9093231
4,0.1333333,-0.002405504,-0.001817213,6.109063,6.190504,2.652756,0.1154241,50.06609,0.001719297,0,0,2.023353,6.046705,0.9730726,-0.917789,0.8681586,-0.9093231
4.05,0.135,-0.001943464,-0.002316776,6.109059,6.181973,2.653731,0.1151971,50.06625,0.001745349,0,0,2.023353,6.046705,0.9730726,-0.9177889,0.8681586,-0.9093231
4.1,0.1366667,0.003751908,0.003272524,6.109056,6.173442,2.654706,0.1149701,50.06641,0.001756413,0,0,2.023353,6.046705,0.9730726,-0.9177889,0.8681586,-0.9093231
4.15,0.1383333,-0.002384394,-0.001876766,6.109053,6.164912,2.655681,0.1147431,50.06657,0.001767133,0,0,2.023353,6.046705,0.9730725,-0.9177889,0.8681586,-0.9093231
4.2,0.14,-0.002361853,-0.002823256,6.10905,6.156381,2.656655,0.1145161,50.06673,0.001801248,0,0,2.023353,6.046705,0.9730725,-0.9177888,0.8681585,-0.9093231
4.25,0.1416667,0.004628505,0.004300497,6.109047,6.14785,2.65763,0.1142891,50.06689,0.001807524,0,0,2.023353,6.046705,0.9730725,-0.9177888,0.8681585,-0.9093231
4.3,0.1433333,0.002341469,0.002039073,6.109043,6.139319,2.658605,0.1140621,50.06705,0.001815752,0,0,2.023353,6.046705,0.9730724,-0.9177888,0.8681585,-0.9093231
4.35,0.145,-0.003445601,-0.002977473,6.10904,6.130789,2.65958,0.1138351,50.06721,0.001840227,0,0,2.023353,6.046705,0.9730724,-0.9177887,0.8681584,-0.9093231
4.4,0.1466667,0.00149663,0.001580151,6.109037,6.122258,2.660555,0.1136082,50.06737,0.001887125,0,0,2.023353,6.046705,0.9730724,-0.9177887,0.8681584,-0.9093231
4.45,0.1483333,0.001058783,0.001372493,6.109034,6.113727,2.66153,0.1133812,50.06752,0.001910831,0,0,2.023353,6.046705,0.9730724,-0.9177887,0.8681584,-0.9093231
4.5,0.15,-0.004618117,-0.004657628,6.109031,6.105196,2.662505,0.1131542,50.06768,0.001932703,0,0,2.023353,6.046705,0.9730723,-0.9177887,0.8681584,-0.9093231
4.55,0.1516667,-0.001176437,-0.0008810925,6.108991,6.100762,2.664051,0.1134282,50.06785,0.001957478,0,0,2.023354,6.046706,0.973072,-0.9177883,0.868158,-0.9093231
4.6,0.1533333,0.0006435976,0.001747708,6.108951,6.096328,2.665597,0.1137022,50.06801,0.001968219,0,0,2.023354,6.046706,0.9730716,-0.9177879,0.8681576,-0.9093231
4.65,0.155,-0.0004985189,-0.0002285976,6.108911,6.091894,2.667143,0.1139763,50.06817,0.001976556,0,0,2.023354,6.046707,0.9730712,-0.9177875,0.8681573,-0.9093231
4.7,0.1566667,3.584347e-06,0.0006230635,6.108871,6.08746,2.668689,0.1142503,50.06834,0.001994369,0,0,2.023354,6.046707,0.9730709,-0.9177871,0.8681569,-0.9093231
